Epoch:,7200,Training Loss:,8.611404520738182, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7300,Training Loss:,8.611401804455953, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7400,Training Loss:,8.611399088771115, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7500,Training Loss:,8.611396373683448, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7600,Training Loss:,8.611393659192727, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7700,Training Loss:,8.611390945298734, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7800,Training Loss:,8.611388232001246, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,7900,Training Loss:,8.611385519300041, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8000,Training Loss:,8.611382807194902, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8100,Training Loss:,8.611380095685606, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8200,Training Loss:,8.61137738477193, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8300,Training Loss:,8.611374674453659, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8400,Training Loss:,8.61137196473057, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8500,Training Loss:,8.611369255602439, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8600,Training Loss:,8.611366547069052, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8700,Training Loss:,8.611363839130187, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8800,Training Loss:,8.61136113178562, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,8900,Training Loss:,8.611358425035135, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9000,Training Loss:,8.61135571887851, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9100,Training Loss:,8.611353013315528, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9200,Training Loss:,8.61135030834597, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9300,Training Loss:,8.611347603969612, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9400,Training Loss:,8.61134490018624, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9500,Training Loss:,8.611342196995631, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9600,Training Loss:,8.611339494397567, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9700,Training Loss:,8.611336792391828, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9800,Training Loss:,8.611334090978197, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,9900,Training Loss:,8.611331390156455, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10000,Training Loss:,8.611328689926383, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10100,Training Loss:,8.61132599028776, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10200,Training Loss:,8.61132329124037, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10300,Training Loss:,8.611320592783995, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10400,Training Loss:,8.611317894918415, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10500,Training Loss:,8.611315197643412, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,10600,Training Loss:,8.61131250095877, Learning rate:,8.063611874999999e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
